plotcode,latitude,longitude,year,month,day,time,plot.ID,area,block,block.rep,landuse,n_vs_non.N,Moisture.m3.m3
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,15:00:00,13,Makao,3,3,pasture,legume,0.424
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,18:00:00,13,Makao,3,3,pasture,legume,0.424
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,23,21:00:00,13,Makao,3,3,pasture,legume,0.419
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,00:00:00,13,Makao,3,3,pasture,legume,0.413
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,03:00:00,13,Makao,3,3,pasture,legume,0.409
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,06:00:00,13,Makao,3,3,pasture,legume,0.407
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,09:00:00,13,Makao,3,3,pasture,legume,0.405
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,12:00:00,13,Makao,3,3,pasture,legume,0.403
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,15:00:00,13,Makao,3,3,pasture,legume,0.402
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,18:00:00,13,Makao,3,3,pasture,legume,0.401
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,24,21:00:00,13,Makao,3,3,pasture,legume,0.400
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,00:00:00,13,Makao,3,3,pasture,legume,0.399
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,03:00:00,13,Makao,3,3,pasture,legume,0.397
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,06:00:00,13,Makao,3,3,pasture,legume,0.422
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,09:00:00,13,Makao,3,3,pasture,legume,0.425
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,12:00:00,13,Makao,3,3,pasture,legume,0.426
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,15:00:00,13,Makao,3,3,pasture,legume,0.419
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,25,18:00:00,13,Makao,3,3,pasture,legume,0.408
