site,plot,area,landuse,Stu_block,Block,sub_vs_inter,n_vs_non.N,excl_vs_open,wp,soil_ depth.cm,soil_wet_wt.g,soil_dry_wt.g,soil_water_content.g,core_vol.cm3,bulk_density_cm3,Soil.sub.sample.g,Oven.dry.sub.g,Soil.moist.per,If 1 - need soil,if 1 have roots,Stone.plus.bag.g,Bag.wt.g,Stone.wt.g,Volume.cm3,core_vol.cm3stones.adj,bulk_density_g.cm3,Roots.mg.g1soil,,Bulk.kg.m3,Roots kg.kg,Roots.kg.m2,
30,177,Handajega,wild,2,4,S,non,Excl,424,12.5,251.76,249.1,2.66,173.18,1.438,21.394,20.8,2.776479387,0,1,4.88,0.73,4.15,2,171.18,1.390546734,1.706589007,1,208.58201,0.001706589,0.355963765,
30,178,Handajega,wild,2,4,S,non,Open,425,11.7,252.54,246.02,6.52,162.097,1.518,20.576,20.025,2.677877138,0,1,4.58,0.72,3.86,1,161.097,1.462298408,1.071311431,1,219.3447612,0.001071311,0.23498655,
30,179,Handajega,wild,2,4,I,,Excl,426,10.5,196.83,193.44,3.39,145.471,1.33,18.919,18.054,4.572123262,0,1,2.51,0,2.51,1,144.471,1.26036149,2.224270251,1,189.0542234,0.00222427,0.420507685,
30,180,Handajega,wild,2,4,I,,Open,427,12.5,247.01,240.72,6.29,173.18,1.39,18.115,17.023,6.028153464,0,1,4.58,0,4.58,2,171.18,1.294713337,1.360728671,1,194.2070005,0.001360729,0.264263034,
31,181,Handajega,wild,3,1,S,N,Excl,428,13.5,263.22,257.99,5.23,187.035,1.379,19.734,19.171,2.852944157,0,0,15.69,0.73,14.96,6,181.035,1.301790755,,0,195.2686133,0,0,
31,182,Handajega,wild,3,1,S,N,Open,429,14,252.2,246.73,5.47,193.962,1.272,15.366,14.762,3.930756215,0,0,13.69,0.73,12.96,6,187.962,1.192111412,,0,178.8167118,0,0,
31,183,Handajega,wild,3,1,S,non,Excl,430,10,222.29,219.52,2.77,138.544,1.584,16.956,16.571,2.270582685,0,0,13.74,0,13.74,7,131.544,1.526452114,,0,228.9678171,0,0,
31,184,Handajega,wild,3,1,S,non,Open,431,14,328.22,324.43,3.79,193.962,1.673,21.0193,20.576,2.109014097,0,0,34.96,0,34.96,18,175.962,1.60618614,,0,240.927921,0,0,
31,185,Handajega,wild,3,1,I,,Excl,432,13.8,304.97,301.77,3.2,191.191,1.578,20.0202,19.441,2.893077991,0,0,37.24,0,37.24,19.5,171.691,1.489883328,,0,223.4824993,0,0,
31,186,Handajega,wild,3,1,I,,Open,433,12.5,264.81,262.36,2.45,173.18,1.515,21.0807,20.437,3.053503916,0,0,20.43,0.72,19.71,15,158.18,1.483365957,,0,222.5048936,0,0,
32,187,Handajega,wild,4,2,S,N,Excl,434,14.5,265.48,259.07,6.41,200.889,1.29,17.656,16.951,3.992976892,0,0,9.55,0,9.55,5,195.889,1.220974096,,0,183.1461145,0,0,
32,188,Handajega,wild,4,2,S,N,Open,435,13.5,272.21,266.87,5.34,187.035,1.427,16.468,15.835,3.843818314,0,0,7.24,0,7.24,4,183.035,1.362427962,,0,204.3641943,0,0,
32,189,Handajega,wild,4,2,S,non,Excl,436,14.3,292.35,287.45,4.9,198.118,1.451,21.79,21.312,2.19366682,0,0,11.89,0,11.89,6,192.118,1.401504829,,0,210.2257243,0,0,
32,190,Handajega,wild,4,2,S,non,Open,437,11.6,267.15,263.28,3.87,160.711,1.638,13.654,13.214,3.222498901,0,0,11.91,0,11.91,6,154.711,1.569932357,,0,235.4898536,0,0,
32,191,Handajega,wild,4,2,I,,Excl,438,10.5,255.99,251.37,4.62,145.471,1.728,25.726,25.346,1.477104874,0,0,13.3,0,13.3,7,138.471,1.692462692,,0,253.8694039,0,0,
32,192,Handajega,wild,4,2,I,,Open,439,16,313.65,307.97,5.68,221.671,1.389,17.684,17.132,3.121465732,0,0,19.25,0,19.25,10,211.671,1.318587912,,0,197.7881868,0,0,
